SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-08,85850.41589458997,39720.90973543412,75.65887568654118,73.22143834786642,148.8803140344076
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-09,93867.46017714599,43430.202101395196,82.72419447884799,80.05913980277904,162.78333428162705
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-10,104525.23296301649,48361.29563655192,92.11675359343224,89.14910686740409,181.26586046083634
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-11,94393.30550996262,43673.49801070395,83.18761525848372,80.50763095120425,163.69524620968798
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2026-12,84782.79901832409,39226.94924459327,74.71799856113005,72.3108726567156,147.02887121784565
03H,NHS Humber and North Yorkshire ICB - 03H,E54000051,E40000012,North East and Yorkshire,2027-01,98855.49135235231,45738.04340889884,87.12008268361684,84.31340943405314,171.43349211766997
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-02,102237.86922695872,47302.98779324907,90.10092912999824,87.19822449795184,177.2991536279501
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-03,104354.7102821346,48282.39891899297,91.96647413141518,89.00366883038355,180.97014296179873
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-04,100210.0498403794,46364.7648391171,88.31383778879449,85.46870635121002,173.78254414000452
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-05,99338.44742577404,45961.495495865056,87.54570570640963,84.72532052366506,172.2710262300747
03K,NHS Humber and North Yorkshire ICB - 03K,E54000051,E40000012,North East and Yorkshire,2026-06,101744.67684843502,47074.79961564493,89.66628498218081,86.77758290919063,176.44386789137144
