ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000042,2026-03,428012.8315631424,815.2625363107475,2
E54000042,2026-04,416241.2598178139,792.8404948910742,2
E54000042,2026-05,411398.4358766085,783.6160683363971,2
E54000042,2026-06,409436.7203919074,779.8794674131568,2
E54000042,2026-07,443011.0548140814,843.8305805982502,2
E54000042,2026-08,393403.4744657271,749.3399513632896,2
E54000042,2026-09,438126.1395321144,834.5259800611702,2
E54000042,2026-10,522301.19950261427,994.8594276240271,2
E54000042,2026-11,447406.7584934251,852.203349511286,2
E54000042,2026-12,398918.0180247107,759.8438438565919,2
E54000042,2027-01,470944.6737121556,897.0374737374392,2
E54000043,2026-02,170859.93164628782,325.44748885007203,1
E54000043,2026-03,171247.79129757808,326.186269138244,1
E54000043,2026-04,170677.45716838186,325.0999184159655,1
E54000043,2026-05,166304.12474158464,316.76976141254215,1
E54000043,2026-06,163249.2572578122,310.95096620535656,1
E54000043,2026-07,176957.44510393895,337.061800197979,1
E54000043,2026-08,155845.39405142365,296.84836962175933,1
E54000043,2026-09,169608.88638741747,323.0645454998428,1
E54000043,2026-10,212235.55479445364,404.2581996084831,1
E54000043,2026-11,177490.03403064568,338.07625529646793,1
E54000043,2026-12,158600.33063611094,302.09586787830654,1
E54000043,2027-01,186797.02993652844,355.80386654576847,1
E54000044,2026-02,393065.1000201247,748.6954286097614,3
E54000044,2026-03,399875.1915099931,761.667031447606,3
E54000044,2026-04,383986.3175675929,731.4025096525579,3
E54000044,2026-05,384833.21743299696,733.0156522533275,3
E54000044,2026-06,380859.05151787726,725.4458124150043,3
E54000044,2026-07,405662.8552003415,772.6911527625552,3
E54000044,2026-08,360140.49349102855,685.981892363864,3
E54000044,2026-09,399116.52752225276,760.2219571852434,3
E54000044,2026-10,480640.4918619634,915.5056987846922,3
E54000044,2026-11,411716.01970086765,784.2209899064146,3
E54000044,2026-12,368096.8635327017,701.1368829194319,3
E54000044,2027-01,427280.5268972413,813.8676702804596,3
E54000050,2026-02,737144.2760768748,1404.0843353845235,8
E54000050,2026-03,738975.2371854439,1407.5718803532263,8
E54000050,2026-04,732681.9681583528,1395.5847012540053,8
E54000050,2026-05,721721.3588622608,1374.7073502138303,8
E54000050,2026-06,714438.8464116157,1360.8358979268871,8
E54000050,2026-07,774933.0899746672,1476.0630285231755,8
E54000050,2026-08,678044.8075710648,1291.5139191829805,8
E54000050,2026-09,762690.6853940417,1452.7441626553175,8
E54000050,2026-10,921518.0924999355,1755.2725571427343,8
E54000050,2026-11,764822.4681124159,1456.8047011665064,8
E54000050,2026-12,694197.2044325236,1322.280389395283,8
E54000050,2027-01,806667.8512032249,1536.5101927680475,8
E54000051,2026-02,400568.6642577667,762.9879319195555,6
E54000051,2026-03,407198.1633272959,775.6155491948493,6
E54000051,2026-04,403450.0350377543,768.47625721477,6
E54000051,2026-05,397930.3847496851,757.9626376184478,6
E54000051,2026-06,397259.7659489007,756.6852684740966,6
E54000051,2026-07,430088.0355934956,819.2153058923725,6
E54000051,2026-08,377585.7589482132,719.2109694251681,6
E54000051,2026-09,423532.84159734007,806.7292220901714,6
E54000051,2026-10,509124.49553527124,969.7609438767071,6
E54000051,2026-11,422586.80686175346,804.9272511652447,6
E54000051,2026-12,384169.43840240204,731.7513112426706,6
E54000051,2027-01,445185.58915823017,847.9725507775813,6
E54000052,2026-02,233736.26977049396,445.2119424199885,1
E54000052,2026-03,231582.0468019337,441.1086605751118,1
E54000052,2026-04,225594.75388442908,429.7042931131983,1
E54000052,2026-05,226015.66182911824,430.5060225316538,1
E54000052,2026-06,224766.83957255734,428.1273134715378,1
E54000052,2026-07,236470.2597134535,450.41954231134,1
E54000052,2026-08,210738.7726222033,401.4071859470539,1
E54000052,2026-09,238047.16164073843,453.42316502997795,1
E54000052,2026-10,285594.2559965423,543.9890590410329,1
E54000052,2026-11,240998.18678969197,459.044165313699,1
E54000052,2026-12,219340.29402991198,417.7910362474514,1
E54000052,2027-01,254279.79032657243,484.34245776489985,1
E54000053,2026-02,414383.5775002293,789.3020523813891,3
E54000053,2026-03,422320.80501167744,804.4205809746236,3
E54000053,2026-04,408028.64714920096,777.1974231413351,3
E54000053,2026-05,411922.18427669856,784.6136843365687,3
E54000053,2026-06,406932.5346367884,775.1095897843588,3
E54000053,2026-07,432585.99928492337,823.9733319712826,3
E54000053,2026-08,391293.5983968453,745.3211398035148,3
E54000053,2026-09,429663.6022313732,818.4068613930918,3
E54000053,2026-10,526945.1779497777,1003.7051008567194,3
E54000053,2026-11,438353.4077133387,834.9588718349307,3
E54000053,2026-12,389808.58682904614,742.4925463410403,3
E54000053,2027-01,459222.388283242,874.709311015699,3
E54000054,2026-02,616574.166728596,1174.4269842449446,5
E54000054,2026-03,622423.9265717753,1185.5693839462388,5
E54000054,2026-04,619065.0989218312,1179.1716169939643,5
E54000054,2026-05,617606.998332377,1176.3942825378608,5
E54000054,2026-06,609301.7864310538,1160.5748312972455,5
E54000054,2026-07,670989.8623962115,1278.0759283737361,5
E54000054,2026-08,584377.6955507133,1113.1003724775492,5
E54000054,2026-09,647587.672366213,1233.5003283165966,5
E54000054,2026-10,755623.7454946279,1439.283324751672,5
E54000054,2026-11,645816.3615805565,1230.1264030105835,5
E54000054,2026-12,595600.664242521,1134.47745570004,5
E54000054,2027-01,675270.2307607871,1286.2290109729279,5
E54000055,2026-02,339978.4153128189,647.5779339291788,1
E54000055,2026-03,341166.5485529913,649.8410448628406,1
E54000055,2026-04,336154.458956175,640.2942075355714,1
E54000055,2026-05,338271.08617739176,644.3258784331272,1
E54000055,2026-06,338338.7649137989,644.4547903119978,1
E54000055,2026-07,365106.16386873415,695.4403121309222,1
E54000055,2026-08,320308.32407603745,610.1110934781666,1
E54000055,2026-09,360069.2083491913,685.8461111413168,1
E54000055,2026-10,414151.91810766567,788.8607963955536,1
